topic,Українська правда,Страна.ua,РБК-Україна,Obozrevatel,24 канал,Цензор.НЕТ,ТСН,Гордон,Politeka,УНІАН,Znaj.ua,LIGA.net,112.ua,Сьогодні,Апостроф,УНН,Українські новини,Економічна правда,Еспресо ТВ,Радіо Свобода,Факти ICTV,LB.ua,Громадське,ZIK,ZN.UA,Фокус,Інтерфакс-Україна,Корреспондент.net,Главком,Вголос,НВ,Суспільне,Zaxid.net,Бабель,Gazeta.ua,Укрінформ,ГолосUA,Букви,КП в Украине,Факти,Телеграф,Вести
Тема Криму,23,10,30,60,60,37,13,56,5,27,2,8,11,18,15,29,6,0,29,45,12,16,6,9,22,11,20,20,24,4,12,13,6,11,25,66,2,7,14,8,13,16
Санкції проти Медведчука,13,13,15,21,49,17,5,46,4,37,2,10,91,7,8,5,11,1,16,12,2,9,6,89,24,15,14,2,29,2,49,11,6,10,19,19,35,7,11,4,15,31
Акція за Стерненка та інших політв'язнів,15,25,9,27,43,38,10,39,0,14,3,19,18,25,9,22,23,0,22,7,11,17,14,3,20,15,15,14,30,2,21,14,6,17,34,16,13,21,11,5,11,29
Справа Вагнерівців,8,3,9,18,27,18,1,24,3,6,1,11,7,11,8,8,0,0,24,4,4,8,1,2,10,5,11,4,18,0,14,8,7,14,12,7,5,17,0,4,9,9
Засідання і робота РНБО (крім Медведчука),9,34,19,25,32,30,5,30,0,15,5,8,19,15,14,23,33,7,20,11,14,11,4,12,14,17,22,16,19,7,23,9,4,6,5,24,16,10,12,5,15,23
