topic,Українська правда,Страна.ua,РБК-Україна,Obozrevatel,24 канал,Цензор.НЕТ,ТСН,Гордон,Politeka,УНІАН,Znaj.ua,LIGA.net,112.ua,Сьогодні,Апостроф,УНН,Українські новини,Економічна правда,Еспресо ТВ,Радіо Свобода,Факти ICTV,LB.ua,Громадське,ZIK,ZN.UA,Фокус,Інтерфакс-Україна,Корреспондент.net,Главком,Вголос,НВ,Суспільне,Zaxid.net,Бабель,Gazeta.ua,Укрінформ,ГолосUA,Букви,КП в Украине,Факти,Телеграф,Вести
Акція на підтримку Стерненка та інших політв'язнів,15,36,17,22,24,37,9,26,0,39,1,14,17,23,11,32,16,0,20,19,11,16,13,11,13,12,16,10,28,3,42,21,10,13,17,37,15,39,12,6,12,29
Справи Стерненка і акції до 20 березня,7,8,1,4,22,14,8,14,0,16,0,5,2,2,2,9,8,0,9,13,1,4,0,1,5,2,6,2,10,1,23,11,4,8,10,13,2,6,6,2,3,11
Справа Шеремета-Антоненка,3,8,5,4,8,13,0,3,0,7,0,1,0,3,3,4,2,0,6,8,3,4,4,2,7,2,7,4,5,0,12,5,3,6,6,13,2,9,4,5,1,7
ДТП з українцями у Польщі,10,9,23,21,40,27,29,19,5,17,10,6,19,24,17,25,8,0,12,11,32,7,6,10,12,3,15,12,27,22,34,21,7,1,40,29,26,5,13,3,7,13
Потенційна заборона партії Шарія,2,2,5,2,9,4,0,5,0,4,0,3,8,2,3,5,5,0,2,4,3,3,3,1,3,4,4,3,7,3,7,1,2,3,2,7,3,3,0,0,1,8
