topic;Українська правда;Страна.ua;РБК-Україна;Obozrevatel;24 канал;Цензор.НЕТ;ТСН;Гордон;Politeka;УНІАН;Znaj.ua;LIGA.net;112.ua;Сьогодні;Апостроф;УНН;Українські новини;Економічна правда;Еспресо ТВ;Радіо Свобода;Факти ICTV;LB.ua;Громадське;ZIK;ZN.UA;Фокус;Інтерфакс-Україна;Корреспондент.net;Главком;Вголос;НВ;Суспільне;Zaxid.net;Бабель;Gazeta.ua;Укрінформ;ГолосUA;Букви;КП в Украине;Факти;Телеграф;Вести
Перекриття Суецького каналу;4;27;10;7;11;1;8;6;0;7;2;11;9;12;10;17;2;2;4;6;5;8;5;5;8;13;21;18;7;0;13;8;3;7;14;14;7;6;5;5;12;15
Новини про Білорусь: акції; затримання; суди і т.і.;11;3;8;3;15;17;11;11;0;8;1;5;5;10;4;18;3;0;9;18;1;9;3;1;6;5;3;16;10;3;18;7;0;12;19;19;0;1;3;2;0;4
Протести у М'янмі;10;3;18;3;10;0;8;10;0;7;0;5;12;7;3;37;0;0;9;17;3;9;7;0;7;2;1;17;8;4;25;8;0;10;12;29;1;2;0;0;3;9
Інтерв'ю Меган Маркл і принца Гаррі;2;0;0;62;44;0;5;18;28;18;20;3;12;48;17;14;0;0;7;4;14;7;6;5;8;0;1;12;23;1;0;6;0;6;11;11;0;31;0;0;0;0
