expert_id,image_name,name,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Obozrevatel,Politeka,ZIK,ZN.UA,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вести,Главком,ГолосUA,Гордон,Громадське,Економічна правда,Еспресо ТВ,КП в Украине,Корреспондент.net,НВ,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти,Факти ICTV,Фокус,Цензор.НЕТ
67,o_holubovska,Ольга Голубовська,4,0,4,0,0,43,0,1,1,0,0,0,5,0,0,3,11,15,3,3,0,0,2,3,1,11,2,0,3,1,3,4,0,7,14,0,5,0,1,8,4,1
43,y_butusov,Юрій Бутусов,2,17,6,0,6,3,2,1,2,3,5,0,4,2,5,0,4,2,3,16,0,0,5,0,0,6,0,0,2,2,1,0,1,0,0,2,0,6,6,0,2,8
94,s_leshchenko,Сергій Лещенко,0,26,1,0,0,9,1,0,3,2,1,2,4,0,2,1,3,13,0,18,2,0,0,1,0,3,0,0,0,0,0,1,1,2,7,0,0,0,0,0,1,4
134,o_pendzyn,Олег Пендзин,0,2,1,0,0,6,2,0,0,0,4,0,4,0,1,1,5,9,43,0,0,0,1,1,0,0,0,0,2,2,13,1,1,1,2,0,3,0,0,1,0,0
136,r_bortnyk,Руслан Бортник,3,0,0,0,0,0,16,5,0,0,16,0,0,0,0,0,11,0,39,0,0,0,0,1,0,0,0,0,3,0,2,0,1,2,0,0,1,0,0,0,0,0
124,b_kushniruk,Борис Кушнірук,0,0,4,0,0,15,15,0,0,0,17,0,1,0,0,0,2,14,1,5,0,0,2,0,0,0,3,0,0,1,10,0,1,0,0,0,0,0,1,0,1,3
239,v_iosub,Вадим Іосуб,0,0,4,0,0,10,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,4,0,0,0,2,0,4,2,0,0,54,0,5,3,0,0
587,s_filimonov,Сергій Філімонов,0,1,0,5,0,5,0,0,1,1,0,1,0,3,3,0,4,2,0,19,4,0,0,2,1,8,0,0,8,1,4,0,3,1,0,1,0,0,0,0,5,9
172,s_komisarenko,Сергій Комісаренко,0,2,2,0,1,14,0,2,1,0,0,0,3,0,0,0,3,13,3,3,0,0,1,2,4,2,2,0,2,1,1,1,3,6,2,0,3,1,1,5,1,2
376,s_ryzhenko,Сергій Риженко,2,5,5,0,1,6,1,1,0,0,0,0,8,0,0,1,0,0,3,10,0,0,2,4,2,8,1,1,1,4,2,1,0,3,0,0,0,3,3,1,1,6
294,v_omelian,Володимир Омелян,0,0,0,0,0,17,17,0,0,0,18,0,0,0,2,0,0,7,0,1,0,0,3,0,0,0,9,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0
386,f_lapii,Федір Лапій,2,6,1,1,2,6,1,1,4,0,0,0,6,0,0,0,0,2,1,5,0,0,0,2,1,2,8,2,2,4,4,3,0,6,2,0,1,1,0,3,2,1
166,r_biziaiev,Руслан Бізяєв,0,0,1,0,0,0,16,0,0,0,14,0,1,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
541,m_rudkovskyi,Микола Рудьковський,0,2,0,1,0,1,3,0,1,2,1,0,4,2,1,0,2,1,0,16,0,0,0,0,2,2,7,0,0,3,10,0,0,2,0,0,0,0,1,0,1,6
126,v_shabunin,Віталій Шабунін,0,15,9,1,2,1,0,0,5,1,0,1,0,2,0,1,1,4,0,4,1,0,1,0,0,3,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,12
214,o_kushch,Олексій Кущ,0,0,1,0,0,1,16,1,0,0,12,0,5,0,0,0,2,0,7,0,0,0,0,9,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,1,0,0
860,s_semenchenko,Семен Семенченко,3,3,2,2,1,1,1,2,2,2,0,2,0,3,0,0,4,1,0,0,0,0,5,0,2,0,2,6,2,3,2,0,0,3,2,0,0,4,1,0,0,3
328,k_kotenkova,Катерина Котенкова,0,0,0,0,0,0,30,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,a_yatseniuk,Арсеній Яценюк,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,18,0,0,1,0,0,0,0,7,0,0,23,0,0,1,0,0,0,4,0,0,0,0
215,o_ustenko,Олег Устенко,4,5,3,2,2,4,1,0,2,0,0,1,0,0,1,0,3,2,0,5,0,2,1,2,2,2,1,0,0,0,1,0,2,1,0,0,2,5,0,2,0,3
997,r_ratushnyi,Роман Ратушний,1,1,2,6,0,2,0,1,1,1,0,0,1,2,7,0,2,4,1,3,4,0,0,1,0,2,0,3,4,1,2,0,0,2,0,3,0,1,0,0,0,2
373,r_riaboshapka,Руслан Рябошапка,1,13,0,0,0,2,0,2,4,0,0,0,8,8,1,0,2,2,1,4,0,0,0,3,0,2,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2
256,o_kalenkov,Олександр Каленков,0,3,0,0,0,13,10,0,0,0,10,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,3,0,0,0,0,3
408,n_vynohrad,Наталія Виноград,0,3,0,0,1,4,0,0,0,2,0,0,0,1,0,0,2,1,0,2,0,0,0,1,1,2,4,0,0,2,2,0,3,3,11,0,0,1,0,7,0,6
111,d_hordon,Дмитро Гордон,0,6,0,0,0,11,1,0,0,0,0,0,1,0,0,0,2,0,0,18,0,0,1,0,0,3,0,0,1,0,4,0,3,0,0,0,1,0,0,1,2,2
524,y_istrebin,Євген Істребін,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,25,0
163,t_mylovanov,Тимофій Милованов,0,5,0,1,3,1,0,1,0,0,2,1,1,1,0,1,2,4,1,2,1,0,3,0,0,2,0,0,0,0,6,0,1,2,3,0,1,0,0,4,2,4
554,s_kuiun,Сергій Куюн,3,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,4,3,4,0,0,0,3,1,0,1,0,0,2,1,11,0,2,0,2,0,9,1,1,1,0,0
189,a_shevchyshyn,Андрій Шевчишин,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,16,0,19,0,1,1,0,0,0,0,4,0,0,0
458,k_sazonov,Кирило Сазонов,0,1,2,0,0,9,7,0,0,0,7,0,3,0,0,0,0,6,1,0,0,0,2,3,0,0,0,0,0,0,1,0,2,0,1,0,1,0,3,0,2,1
