expert_id,image_name,name,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Obozrevatel,Politeka,ZIK,ZN.UA,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вести,Главком,ГолосUA,Гордон,Громадське,Економічна правда,Еспресо ТВ,КП в Украине,Корреспондент.net,НВ,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти,Факти ICTV,Фокус,Цензор.НЕТ
587,s_filimonov,Сергій Філімонов,0,0,0,5,0,2,0,0,1,1,0,0,0,2,2,0,2,2,0,9,1,0,0,1,1,7,0,0,4,1,2,0,1,1,0,0,0,0,0,0,4,6
997,r_ratushnyi,Роман Ратушний,1,1,2,5,0,2,0,1,1,1,0,0,1,2,5,0,1,4,1,3,3,0,0,1,0,1,0,3,3,1,2,0,0,2,0,2,0,1,0,0,0,2
860,s_semenchenko,Семен Семенченко,3,2,1,1,0,1,0,1,2,2,0,2,0,3,0,0,2,1,0,0,0,0,3,0,2,0,2,6,2,1,2,0,0,2,1,0,0,4,0,0,0,2
1579,d_mazurok,Дмитро Мазурок,0,2,0,0,1,1,0,0,0,1,0,1,0,2,2,0,1,2,0,0,1,0,2,0,0,4,0,3,2,2,2,0,0,1,2,1,0,3,0,0,1,2
391,m_naiiem,Масі Найєм,0,2,1,2,3,1,0,0,1,0,0,1,0,1,3,0,1,3,0,0,1,0,2,0,0,1,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2
